RPM,Bar,MAP,Temp,TPS,Voltage,MPH,EPCPSI,controlslocked,EPCPWM,Gear,TCC,Fuel,Oil
648,100.0,37.4,190.0,1.9,12.9,9,54,0,70,3,0,7,34
648,100.0,37.4,190.0,1.9,12.9,9,54,0,70,3,0,7,34
648,100.0,37.4,190.0,1.9,12.9,9,54,0,70,3,0,7,34
648,100.0,37.4,190.0,1.9,12.9,9,54,0,70,3,0,7,34
648,100.0,37.4,190.0,1.9,12.9,9,54,0,70,3,0,7,34
648,100.0,37.4,190.0,1.9,12.9,9,54,0,70,3,0,7,34
648,100.0,37.4,190.0,1.9,12.9,9,54,0,70,3,0,7,34
648,100.0,37.4,190.0,1.9,12.9,9,54,0,70,3,0,7,34
648,100.0,37.4,190.0,1.9,12.9,9,54,0,70,3,0,7,34
648,100.0,37.4,190.0,1.9,12.9,9,54,0,70,3,0,7,34
648,100.0,37.4,190.0,1.9,12.9,9,54,0,70,3,0,7,34
648,100.0,37.4,190.0,1.9,12.9,9,54,0,70,3,0,7,34
648,100.0,37.4,190.0,1.9,12.9,9,54,0,70,3,0,7,34
648,100.0,37.4,190.0,1.9,12.9,9,54,0,70,3,0,7,34
648,100.0,37.4,190.0,1.9,12.9,9,54,0,70,3,0,7,34
1688,100.0,54.2,190.3,16.4,12.9,13,34,0,71,2,0,8,80
1566,100.0,51.4,188.5,14.1,12.8,23,29,0,61,3,0,8,70
1566,100.0,51.4,188.5,14.1,12.8,23,57,0,73,3,0,8,73
1566,100.0,51.4,188.5,14.1,12.8,23,57,0,73,3,0,8,73
1563,100.0,51.6,189.2,14.0,12.9,23,57,0,73,3,0,8,73
1563,100.0,51.6,189.2,14.0,12.9,23,57,0,73,3,0,8,73
1563,100.0,51.6,189.2,14.0,12.9,23,57,0,73,3,0,8,73
1563,100.0,51.6,189.2,14.0,12.9,23,56,0,74,3,0,8,74
1561,100.0,50.6,189.3,14.2,12.9,23,56,0,74,3,0,8,74
1561,100.0,50.6,189.3,14.2,12.9,23,56,0,74,3,0,8,74
1561,100.0,50.6,189.3,14.2,12.9,23,56,0,74,3,0,8,74
1561,100.0,50.6,189.3,14.2,12.9,23,63,0,78,3,0,8,73
1563,100.0,51.3,188.8,14.0,12.7,23,63,0,78,3,0,8,73
