epcpwm,epcpressuresetpoint,load,Line,EPC_Press,ISS_Speed,Slippage,tcc,rpm,CurrentGear,CurrentSpeed
255,50,1.90,192,116,0.00,0.00,0,893,1,0.00
134,111,1.90,55,30,0.00,0.00,0,939,2,0.00
182,101,1.90,54,30,0.00,0.00,0,981,1,0.00
142,101,1.90,54,30,0.00,0.00,0,971,1,0.00
106,101,1.90,54,30,0.00,0.00,0,980,1,0.00
81,101,1.90,65,37,0.00,0.00,0,983,1,0.00
98,101,1.90,115,72,0.00,0.00,0,978,1,0.00
25,101,1.90,50,45,0.00,0.00,0,997,1,0.00
77,101,1.90,90,89,0.00,0.00,0,871,1,0.00
27,101,6.70,109,74,0.00,0.00,0,489,1,0.00
74,106,8.20,184,115,0.00,0.00,0,1223,1,0.00
11,108,8.80,137,84,0.00,0.00,0,1141,1,0.00
67,108,11.80,193,118,0.00,0.00,0,1373,1,0.00
10,111,12.20,151,91,0.00,0.00,0,1423,1,0.00
52,112,12.30,189,117,0.00,0.00,0,1440,1,0.00
25,112,12.90,162,105,0.00,0.00,0,1510,1,0.00
43,112,13.40,190,116,0.00,0.00,0,1546,1,0.00
28,113,13.20,169,109,0.00,0.00,0,1654,1,0.00
39,113,13.30,186,115,0.00,0.00,0,1649,1,0.00
34,113,13.20,175,113,0.00,0.00,0,1776,1,0.00
32,113,13.20,187,111,0.00,0.00,0,1786,1,0.00
22,123,13.20,180,114,0.00,0.00,0,1843,2,0.00
126,50,10.60,181,115,0.00,0.00,0,1847,1,1.04
22,50,10.40,60,30,0.00,0.00,0,1869,1,10.88
124,50,10.50,181,113,0.00,0.00,0,1865,2,13.07
43,50,10.50,58,30,0.00,0.00,0,1875,2,8.46
15,110,10.40,174,96,0.00,0.00,0,1887,3,13.57
50,110,10.30,194,116,0.00,0.00,0,1880,3,11.70
132,50,10.50,171,106,0.00,0.00,0,1894,3,7.47
36,50,10.40,61,30,0.00,0.00,0,1816,3,12.10
42,50,10.50,54,30,0.00,0.00,0,1476,3,14.13
77,50,10.50,55,31,0.00,0.00,0,1369,2,11.60
83,50,10.60,82,54,0.00,0.00,0,1462,2,17.04
46,110,10.20,112,95,0.00,0.00,0,1747,3,14.39
58,110,10.10,171,118,0.00,0.00,0,1931,3,14.29
